Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
GLOUC,AP,2008,551,377,15,,,,1,1,,22,,
WASPS,AP,2008,599,459,14,,,,1,2,,22,,
BATH,AP,2008,526,387,15,,,,1,3,,22,,
LEICS,AP,2008,539,428,13,,,,1,4,,22,,
SALE,AP,2008,481,374,14,,,,0,5,,22,,
HQUIN,AP,2008,480,440,12,,,,0,6,,22,,
IRISH,AP,2008,433,382,13,,,,0,7,,22,,
SARAC,AP,2008,533,525,11,,,,0,8,,22,,
BTL,AP,2008,393,473,7,,,,0,9,,22,,
WORCS,AP,2008,387,472,6,,,,0,10,,22,,
NEWC,AP,2008,333,542,7,,,,0,11,,22,,
LEEDS,AP,2008,336,732,2,,,,0,12,,22,,
